fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221002 223743	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	141	TRUE	363373	0.100115105347118	0.422739556687366	2386	232	14875	37814000	38
20221002 223853	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	237	TRUE	363373	0.100072893821906	0.420095711432021	3149	205	14989	36842000	39
20221002 223925	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	154	TRUE	363373	0.116518345908979	0.953944365993332	7813	835	14553	36397000	40
20221002 224009	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	133	TRUE	363373	0.105173017782875	0.41515038662058	2151	292	14675	36752000	41
20221002 224037	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	95	TRUE	363373	0.101592396391802	0.660585893565382	2343	33	14946	36877000	42
20221002 224106	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	130	TRUE	363373	0.110890012559071	0.871087950407222	6526	460	13737	36362000	43
20221002 224138	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	52	TRUE	363373	0.124558104268837	0.539148523431365	1539	159	15000	37143000	44
20221002 224204	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	47	TRUE	363373	0.111593543360694	0.496761484697391	2555	48	14701	36882000	45
20221002 224226	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	58	TRUE	363373	0.100174765021457	0.545340656780157	1272	23	14059	36521000	46
20221002 224240	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	12	TRUE	363373	0.215002824121839	0.504992847121689	1589	17	13170	35634000	47
20221002 224312	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	114	TRUE	363373	0.10524535422203	0.289194885291324	6913	413	13255	36688000	48
20221002 224342	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	146	TRUE	363373	0.100113284740964	0.988931094562825	5709	765	14464	36662000	49
20221002 224415	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	97	TRUE	363373	0.100361831479186	0.404947000226403	1973	44	14893	36530000	50
20221002 224437	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	68	TRUE	363373	0.124823819679619	0.899562287483728	4547	546	14922	36666000	51
20221002 224526	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	153	TRUE	363373	0.107286950110001	0.313607793761508	2653	564	14999	36591000	52
20221002 224605	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	176	TRUE	363373	0.100040056397328	0.614669642730034	7371	382	14518	36669000	53
20221002 224652	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	229	TRUE	363373	0.100059573224688	0.268010905471813	5105	349	13335	35972000	54
20221002 224714	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	92	TRUE	363373	0.133308172870773	0.779724058562028	5504	17	14371	35878000	55
20221002 224743	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	103	TRUE	363373	0.100021755258922	0.418757342271088	7692	941	13661	36121000	56
20221002 224812	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	61	TRUE	363373	0.100125736178155	0.917332747425994	1894	428	14990	36754000	57
20221002 224842	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	109	TRUE	363373	0.107415577665905	0.362535213760454	4550	221	14999	36653000	58
20221002 224912	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	112	TRUE	363373	0.10094470316735	0.999570182564928	4223	508	13202	36122000	59
