Feature	Gain	Cover	Frequency
ctrx_quarter	0.224312769300041	0.0236384540233904	0.0285240464344942
mcuentas_saldo	0.0816709918922425	0.0336965973669248	0.0286898839137645
mpayroll	0.0808927737012658	0.031272143893231	0.0150912106135987
mprestamos_personales	0.0358991213690408	0.0198397340994951	0.0102819237147595
mpasivos_margen	0.0309471310890297	0.0161794832886528	0.0252072968490879
mtarjeta_visa_consumo	0.0307840521443067	0.0210849422608305	0.0262023217247098
mcaja_ahorro	0.0274339585040523	0.0181502516888542	0.0265339966832504
mrentabilidad_annual	0.0267830554634716	0.0349671021719933	0.0354892205638474
Visa_status	0.0244657145310595	0.0131428846244897	0.00348258706467662
cpayroll_trx	0.0190068131045919	0.011556168662769	0.00713101160862355
mrentabilidad	0.0174708179907379	0.0156601214850945	0.0258706467661692
mcomisiones_mantenimiento	0.0158304997073305	0.0153863803268219	0.0126036484245439
Visa_mpagominimo	0.0156266568745771	0.0156955629102214	0.0237147595356551
mcuenta_corriente	0.0141649615559062	0.016443919362336	0.0212271973466003
cliente_edad	0.0139827156074992	0.0228536920498178	0.0321724709784411
Master_Fvencimiento	0.0133441521828779	0.0197910938845964	0.0278606965174129
Visa_fechaalta	0.01293890549193	0.0120805313272964	0.0223880597014925
mactivos_margen	0.0127580939376341	0.0177901399392667	0.021558872305141
Master_fechaalta	0.0126996446005599	0.0211065193587185	0.0263681592039801
Visa_Fvencimiento	0.0120839483406133	0.0161735494312342	0.0233830845771144
Visa_mconsumospesos	0.0113732165623848	0.0176890964237898	0.026865671641791
Visa_msaldototal	0.0104235937582075	0.0158708729430756	0.0200663349917081
numero_de_cliente	0.0100340039101287	0.0119651134465215	0.0227197346600332
chomebanking_transacciones	0.00979994105378699	0.0115721353420075	0.0212271973466003
ctarjeta_visa_transacciones	0.00867402259280337	0.0131473505674945	0.0131011608623549
cdescubierto_preacordado	0.00840104016005735	0.00923620457143878	0.00315091210613599
cprestamos_personales	0.0077957160728347	0.00661091428203348	0.0033167495854063
Master_mfinanciacion_limite	0.00746733725728247	0.00746453761355282	0.0162520729684909
mcomisiones	0.00740915855840668	0.011400986473318	0.0164179104477612
Visa_mpagospesos	0.00740313189850431	0.0131274964030499	0.018407960199005
mcomisiones_otras	0.00720332413538897	0.00919971819028843	0.0155887230514096
cliente_antiguedad	0.00719696062266982	0.00954367044137126	0.0165837479270315
mtransferencias_recibidas	0.00681829097908585	0.00759666235074949	0.0165837479270315
Visa_mfinanciacion_limite	0.00660530897969427	0.00932280530187797	0.0157545605306799
ccomisiones_otras	0.00645794877973788	0.0122607738013801	0.0142620232172471
ccajas_consultas	0.00635201756105227	0.0165064736642843	0.00447761194029851
Visa_msaldopesos	0.00632214466094348	0.00964584599254016	0.0140961857379768
mcaja_ahorro_dolares	0.00629056131373953	0.00736011665092888	0.0137645107794362
Visa_cconsumos	0.00565133222416974	0.0098360342087751	0.012106135986733
ccaja_seguridad	0.00561684804017871	0.0135898832234276	0.0033167495854063
mttarjeta_visa_debitos_automaticos	0.00557268758082582	0.00814382122852544	0.0111111111111111
mautoservicio	0.00522676672799108	0.017060586475597	0.0174129353233831
mcuenta_debitos_automaticos	0.00503063298269798	0.0146876219659609	0.00928689883913765
Master_status	0.0049309884941043	0.00933336682168589	0.0021558872305141
mtransferencias_emitidas	0.00482704476250942	0.0106297094084283	0.0154228855721393
Master_mlimitecompra	0.00443292885472849	0.00531304780109033	0.00812603648424544
cproductos	0.00422726226740944	0.0106882082858096	0.00928689883913765
thomebanking	0.00396279411685717	0.00389732520865097	0.00447761194029851
ctarjeta_debito_transacciones	0.00393379421233691	0.0125227716443421	0.014759535655058
ctarjeta_master	0.00369127498854515	0.000183601261301728	0.00066334991708126
cmobile_app_trx	0.00355815667467111	0.00294727980406776	0.00464344941956882
