Feature	Gain	Cover	Frequency
ctrx_quarter	0.266320866585616	0.051002803422717	0.0311258278145695
mpayroll	0.114513883412154	0.0864827359687818	0.0271523178807947
mcuenta_corriente	0.0615126718407037	0.0107282562709902	0.0162251655629139
mprestamos_personales	0.0476108754844086	0.0212889334303005	0.0162251655629139
mcaja_ahorro	0.0430559325742382	0.0285248106792099	0.0384105960264901
mcuentas_saldo	0.0364333669023964	0.0293251072086219	0.0241721854304636
mpasivos_margen	0.0350909415271165	0.0242009822167569	0.0258278145695364
mtarjeta_visa_consumo	0.0266569659809963	0.0399466931983297	0.0301324503311258
cpayroll_trx	0.0259472847249261	0.0211851369601508	0.00827814569536424
cproductos	0.0251041885908533	0.00559519053337875	0.0105960264900662
mrentabilidad_annual	0.0227813855308167	0.025692749635949	0.0281456953642384
mcomisiones_mantenimiento	0.0194626599856065	0.0244544164360284	0.0109271523178808
Visa_msaldopesos	0.016068076105733	0.0164096012672868	0.0201986754966887
Visa_status	0.0136358881810283	0.0295285291313744	0.00629139072847682
Visa_fechaalta	0.0122310177644315	0.0132619199249648	0.0274834437086093
mrentabilidad	0.01190114462589	0.0124755733537597	0.0185430463576159
cdescubierto_preacordado	0.0116905626107973	0.00992724128879493	0.00364238410596027
Visa_mpagominimo	0.0107242523056658	0.0176327072596081	0.0251655629139073
cprestamos_personales	0.00963879237119984	0.0101193276231904	0.00629139072847682
cliente_edad	0.00923265522203542	0.021038851990684	0.0291390728476821
ctarjeta_visa_transacciones	0.00871998337318976	0.0207419912920729	0.021523178807947
Visa_msaldototal	0.00871475933102586	0.0169677991657845	0.0205298013245033
Master_Fvencimiento	0.00648050826473318	0.00784911661340836	0.0158940397350993
mcomisiones	0.00631469242999265	0.014395538631735	0.0195364238410596
Master_fechaalta	0.00619893076557308	0.0130224755779439	0.021523178807947
Master_status	0.00607839639509744	0.00716985942094262	0.00198675496688742
ccaja_seguridad	0.00596967979701585	0.0120185775125836	0.00298013245033113
mactivos_margen	0.00570750881903846	0.0052907860805441	0.00860927152317881
Visa_mfinanciacion_limite	0.00508904293333272	0.00807223611663339	0.0178807947019868
mautoservicio	0.00483645198594984	0.0173870163647778	0.023841059602649
Visa_cconsumos	0.00481152145051942	0.00744512662201443	0.0125827814569536
