Feature	Gain	Cover	Frequency
ctrx_quarter	0.217540019057863	0.0232392151155082	0.0280318091451292
mcuentas_saldo	0.11674726248481	0.0405835655706317	0.036182902584493
mpayroll	0.0335997757199563	0.0141530646567872	0.00815109343936382
mrentabilidad_annual	0.031107463068185	0.0415549262127948	0.0411530815109344
mcaja_ahorro	0.0278245133515699	0.0224112911448916	0.025844930417495
mprestamos_personales	0.0242167417056102	0.0119624287263937	0.00457256461232604
cliente_edad	0.0208608043103337	0.0376652343751345	0.0397614314115308
mactivos_margen	0.0180919418555902	0.0265636270149555	0.0266401590457256
numero_de_cliente	0.0179120996039373	0.0269412927192935	0.0339960238568589
cpayroll_trx	0.0173972738312932	0.00359943815338637	0.00159045725646123
Visa_Fvencimiento	0.0168227448678708	0.027721621698018	0.0343936381709742
mcuenta_corriente	0.0166934746580882	0.0280369312340849	0.0256461232604374
mtarjeta_visa_consumo	0.0166389069571241	0.0165085054655958	0.0157057654075547
Master_Fvencimiento	0.0162581110027541	0.021838794867042	0.0306163021868787
Visa_fechaalta	0.0156610633904506	0.0198048202658554	0.0252485089463221
mpasivos_margen	0.015531798526658	0.017052856959194	0.0234592445328032
Visa_mpagominimo	0.0145103754377757	0.0150498352626754	0.0186878727634195
mrentabilidad	0.0144660791117542	0.023950088149814	0.0250497017892644
cliente_antiguedad	0.0144468167212156	0.0246290174897952	0.0272365805168986
mcomisiones_mantenimiento	0.0143401742789082	0.00851379723606245	0.00914512922465209
Visa_mconsumospesos	0.0142206141208624	0.0194095534746795	0.0278330019880716
Master_fechaalta	0.0142087046251725	0.0266779757976579	0.0296222664015905
chomebanking_transacciones	0.0129106245850807	0.0194284791466196	0.0228628230616302
cdescubierto_preacordado	0.0117072671442788	0.00433553128803795	0.00159045725646123
ctarjeta_visa_transacciones	0.0111551234526858	0.0072599714700264	0.0119284294234592
Visa_cconsumos	0.0106889161049923	0.0104069843359069	0.0159045725646123
mtransferencias_recibidas	0.0106839725952526	0.0163631560931617	0.0210735586481113
Visa_mpagospesos	0.010390061476702	0.014952192147282	0.0204771371769384
Master_mfinanciacion_limite	0.00968613988612717	0.0107564628692702	0.0172962226640159
Visa_mfinanciacion_limite	0.00843064612224682	0.0139272758802669	0.0174950298210736
mcomisiones_otras	0.00820107883775857	0.0124664439544598	0.015506958250497
Master_status	0.00818187800899776	0.0043889650510605	0.00178926441351889
Visa_msaldototal	0.00816165768729546	0.0152388323633971	0.0121272365805169
mautoservicio	0.00812649976353109	0.0149686381959109	0.01610337972167
mcaja_ahorro_dolares	0.00806244946032692	0.0115361719421668	0.0151093439363817
Visa_msaldopesos	0.00733356977744071	0.00915880130240625	0.0119284294234592
cproductos	0.00716048313985421	0.0108117192613933	0.010337972166998
mtransferencias_emitidas	0.00690723757955817	0.0114726607356868	0.0149105367793241
ccomisiones_otras	0.00658404134755268	0.0081699084518305	0.0105367793240557
mttarjeta_visa_debitos_automaticos	0.00656615477727556	0.0157052293745609	0.0141153081510934
mcomisiones	0.00625112454506831	0.0107969315933124	0.0125248508946322
ctransferencias_recibidas	0.00594727640286552	0.0099287296389083	0.0105367793240557
ctarjeta_debito_transacciones	0.00511769730762198	0.00924471919047505	0.0117296222664016
cprestamos_personales	0.00500069467112528	0.00771228549238365	0.0025844930417495
mcuenta_debitos_automaticos	0.00490540440993107	0.0110640527233615	0.00815109343936382
Visa_mlimitecompra	0.00487680274419243	0.0110226144030245	0.010337972166998
