max_depth	min_split	ganancia_promedio
12	400	7	18538667
12	400	8	18413333
12	400	9	18145333
12	400	10	17982667
12	400	15	18458667
12	400	20	17644000
12	200	5	18761333
12	200	6	17761333
12	200	7	17813333
12	200	8	17742667
12	200	9	17294667
12	200	10	17213333
12	200	15	17656000
12	200	20	16650667
12	100	5	16817333
12	100	6	15912000
12	100	7	16145333
12	100	8	16533333
12	100	9	15746667
12	100	10	15445333
12	100	15	15782667
12	100	20	14561333
12	50	5	16386667
12	50	6	15500000
12	50	7	15370667
12	50	8	15613333
12	50	9	14669333
12	50	10	14456000
12	50	15	14136000
12	50	20	13425333
12	20	5	14874667
12	20	6	13502667
12	20	7	13769333
12	20	8	13433333
12	20	9	13110667
12	20	10	13074667
12	20	15	13013333
12	20	20	13592000
12	10	5	13994667
12	10	6	12913333
12	10	7	13176000
12	10	8	13138667
12	10	9	13082667
12	10	10	13074667
12	10	15	13013333
12	10	20	13592000
14	1000	5	18833333
14	1000	6	19134667
14	1000	7	18705333
14	1000	8	18726667
14	1000	9	18588000
14	1000	10	18448000
14	1000	15	18153333
14	1000	20	18221333
14	800	5	19126667
14	800	6	19210667
14	800	7	18572000
14	800	8	18832000
14	800	9	18545333
14	800	10	18442667
14	800	15	18554667
14	800	20	18614667
14	600	5	18826667
14	600	6	19277333
14	600	7	18706667
14	600	8	18816000
14	600	9	18742667
14	600	10	18761333
14	600	15	18138667
14	600	20	18038667
14	400	5	18656000
14	400	6	18710667
14	400	7	18137333
14	400	8	17974667
14	400	9	17786667
14	400	10	17645333
14	400	15	17918667
14	400	20	16828000
14	200	5	17700000
14	200	6	17693333
14	200	7	17636000
14	200	8	17258667
14	200	9	17053333
14	200	10	16740000
14	200	15	16762667
14	200	20	16002667
14	100	5	15725333
14	100	6	15493333
14	100	7	15761333
14	100	8	15720000
14	100	9	15408000
14	100	10	15090667
14	100	15	14644000
14	100	20	13776000
14	50	5	14301333
14	50	6	14401333
14	50	7	14022667
14	50	8	13940000
14	50	9	13386667
14	50	10	13122667
14	50	15	12521333
14	50	20	12065333
14	20	5	12873333
14	20	6	12345333
14	20	7	12366667
14	20	8	11529333
14	20	9	11874667
14	20	10	11850667
14	20	15	11344000
14	20	20	12286667
14	10	5	11713333
14	10	6	11814667
14	10	7	11552000
14	10	8	11096000
14	10	9	11832000
14	10	10	11850667
14	10	15	11344000
14	10	20	12286667
