fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221002 215304	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	92	TRUE	363373	0.0631903934935736	0.703831135148183	7429	253	14236	23530000	88
20221002 221449	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1069	TRUE	363373	0.00634628214024349	0.976428898047727	21	563	8895	26930000	89
20221002 221631	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	294	TRUE	363373	0.0337472040641587	0.894447090747208	7861	458	9826	25550000	90
20221002 222435	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	930	TRUE	363373	0.0078341796205868	0.805210248851217	1599	204	8783	26680000	91
20221002 222522	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	125	TRUE	363373	0.197787872959089	0.726538617931679	7595	542	5459	23410000	92
20221002 222615	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	113	TRUE	363373	0.135239526371039	0.4053680988824	4881	602	11496	25570000	93
20221002 222707	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	57	TRUE	363373	0.203765542575772	0.238459304813296	724	176	11802	23840000	94
20221002 222741	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	64	TRUE	363373	0.201535182107103	0.293085723374225	6915	769	7665	25070000	95
20221002 222843	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	175	TRUE	363373	0.193403662257626	0.319381155042723	6285	707	5065	23550000	96
20221002 222922	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	110	TRUE	363373	0.26395200446137	0.729731384074129	1069	56	7839	24010000	97
20221002 222952	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	16	TRUE	363373	0.224899385717983	0.847095698761009	1357	335	12243	24960000	98
20221002 223030	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	54	TRUE	363373	0.151891596918692	0.289742127618007	3934	471	5926	24870000	99
20221002 223103	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	39	TRUE	363373	0.208599455329994	0.725667185312323	2313	277	6586	25390000	100
20221002 223133	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	363373	0.2869749842957	0.455722783831507	6318	144	13526	23270000	101
20221002 224621	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	577	TRUE	363373	0.00900277244851989	0.856707909545491	37	672	9807	27030000	102
20221002 225101	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	312	TRUE	363373	0.0156895100715847	0.805885365525578	691	546	9586	26590000	103
20221002 225524	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	331	TRUE	363373	0.0377674819712276	0.867229287831826	447	427	8803	26640000	104
20221002 225939	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	586	TRUE	363373	0.0140140369048425	0.919659058065346	2623	890	9968	25990000	105
20221002 230126	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	144	TRUE	363373	0.104642164364422	0.239598745371323	609	722	8974	26060000	106
20221002 234049	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1790	TRUE	363373	0.00542073760513988	0.786085277617548	20	806	9149	26590000	107
20221002 234424	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	409	TRUE	363373	0.0210199856589785	0.224015103658495	1106	606	8123	26640000	108
