Feature	Gain	Cover	Frequency
ctrx_quarter	0.180763021691038	0.0159570758560632	0.0152367557430849
mcaja_ahorro	0.0906090970205073	0.0160556094161671	0.0208626347866854
mpayroll	0.0640364822594757	0.0336573711215694	0.0218002812939522
cpayroll_trx	0.0440532867475541	0.0172497337080072	0.00656352555086732
mcuentas_saldo	0.0384709165802911	0.0309408233414006	0.0225035161744023
mtarjeta_visa_consumo	0.0369081511195306	0.0248607561207166	0.0321143928738865
mpasivos_margen	0.0305547391252295	0.0168561231770815	0.0218002812939522
cproductos	0.0303617235407548	0.0140102953287323	0.00867323019221754
mprestamos_personales	0.0259077486734771	0.0198660625357122	0.00890764181903422
Visa_msaldototal	0.0254992247893108	0.0144343000540773	0.0194561650257853
mcomisiones_otras	0.0213319283094627	0.0204617106660084	0.0288326300984529
mrentabilidad_annual	0.0209663799752312	0.0286340925203849	0.0208626347866854
cprestamos_personales	0.0196276714994103	0.024001891600591	0.00914205344585091
mcuenta_corriente	0.0181140922684023	0.018476232768339	0.0208626347866854
mrentabilidad	0.015668861198404	0.0236090618729055	0.029535864978903
Visa_fechaalta	0.0144448567962921	0.0202780219427802	0.0260196905766526
mactivos_margen	0.0133680260780795	0.0222482170453232	0.0236755743084857
ctarjeta_visa_transacciones	0.011868712483714	0.0113990607660693	0.0164088138771683
mcomisiones	0.0117553418388483	0.012476055049904	0.0182841068917018
cdescubierto_preacordado	0.0104273590468445	0.0120075350178827	0.00375058602906704
Visa_mconsumospesos	0.00997760256489249	0.0155241775913736	0.0285982184716362
Master_mfinanciacion_limite	0.00961568115612752	0.0155587995496784	0.0300046882325363
cliente_edad	0.00906900019560926	0.0120879577516127	0.0218002812939522
Master_fechaalta	0.00879781499423955	0.0188439910944249	0.0215658696671355
Visa_Fvencimiento	0.00842779293661649	0.0137362619574303	0.023441162681669
Visa_status	0.00815344411346858	0.013471902928713	0.00304735114861697
Visa_mpagominimo	0.00784021781107468	0.0116335397878668	0.0145335208626348
mcomisiones_mantenimiento	0.00778365849826838	0.0147497826510395	0.0107829348335677
