Feature	Gain	Cover	Frequency
ctrx_quarter	0.275586592062166	0.0205923280809792	0.0202603861907548
mcuentas_saldo	0.0719844465780805	0.0284656042098813	0.0343036863662961
cpayroll_trx	0.0592394258946312	0.0141940008605266	0.00650965476887068
mpayroll	0.0560855902836565	0.019317036819922	0.0112638970157987
mprestamos_personales	0.0427577942852816	0.0207122469402747	0.0106787595084845
mtarjeta_visa_consumo	0.0398177746235077	0.0171607596872277	0.0207723815096548
mpasivos_margen	0.0391453800375089	0.0136016069638849	0.0203335283791691
mrentabilidad_annual	0.0347233123694242	0.0412822680237587	0.046664716208309
mcaja_ahorro	0.0335896951292655	0.0147473023710839	0.0233323581041545
mcomisiones_mantenimiento	0.0180063101711038	0.0154314374026863	0.0169689877121123
ctarjeta_visa	0.0178845074073354	0.00872101261351625	0.00416910473961381
Visa_mpagominimo	0.0167985464431619	0.0194492794162369	0.0244294909303686
mrentabilidad	0.0146362084998618	0.019425153728568	0.0223815096547689
mcuenta_corriente	0.0140709664941836	0.0333030364925502	0.034011117612639
mactivos_margen	0.0139608493726591	0.0302744094307487	0.0294031597425395
ctarjeta_master	0.0132040067822276	0.00590280283736992	0.00380339379754242
cdescubierto_preacordado	0.012536123778935	0.0204152635313382	0.00848449385605617
cliente_edad	0.0108682013479043	0.0264490259251083	0.035327677004096
Visa_fechaalta	0.0102574480140419	0.0269268070509033	0.0236980690462259
Master_fechaalta	0.00914616265478894	0.0213084143354473	0.0262580456407256
ctarjeta_visa_transacciones	0.00866837000283547	0.0107770336626607	0.0149941486249269
Master_Fvencimiento	0.00860429124179384	0.0192311248201335	0.0256729081334114
cproductos	0.00787145323558652	0.019315597496167	0.0140433001755413
Visa_Fvencimiento	0.007773237143233	0.015015296387999	0.026111761263897
Visa_mconsumospesos	0.00756514055543646	0.0175595027815001	0.0260386190754827
numero_de_cliente	0.00712319834550301	0.0120736085141299	0.0229666471620831
Visa_cconsumos	0.00672975221394525	0.0117623692461806	0.0177735517846694
chomebanking_transacciones	0.00639385786301765	0.0138433654612872	0.0196021064950263
Master_mfinanciacion_limite	0.00570704524240598	0.0104014445234696	0.0209186658864833
ccomisiones_otras	0.00550542262567503	0.00854357625957771	0.0138970157987127
Visa_msaldopesos	0.00496958478034535	0.0141464439399952	0.013970157987127
Visa_mpagospesos	0.0048563780744553	0.017378689940399	0.0185781158572265
ccajas_consultas	0.00480578093389469	0.0150679816871284	0.0054856641310708
mcomisiones_otras	0.00470442689300402	0.015380715734389	0.0144821533060269
cliente_antiguedad	0.00449041595042795	0.00977904160878404	0.0151404330017554
mcuenta_debitos_automaticos	0.00390764863978608	0.0102009512616732	0.00746050321825629
mautoservicio	0.00389138458035753	0.0133041887329734	0.0133118782913985
cmobile_app_trx	0.00386665978563742	0.00769822562423519	0.00855763604447045
Visa_mfinanciacion_limite	0.00380097233135097	0.00809235330380465	0.0128730251609128
mtransferencias_recibidas	0.00372365272796666	0.00888091114779577	0.0138970157987127
mcaja_ahorro_dolares	0.00358414136667329	0.00868253149890403	0.0140433001755413
tcallcenter	0.00339892045024862	0.00646240485532754	0.00329139847864248
Visa_mconsumosdolares	0.00331220911276353	0.00848386070834206	0.010020479812756
mttarjeta_visa_debitos_automaticos	0.0032954094211232	0.00951329102118925	0.0122878876535986
ccajas_transacciones	0.0031298864368944	0.0108839204662412	0.00446167349327092
mtransferencias_emitidas	0.00308750976414537	0.0104297545849271	0.0136775892334699
mcomisiones	0.00304206413139163	0.00792330334239296	0.00928905792861323
cprestamos_personales	0.00303050706997504	0.00581616613428976	0.00241369221767115
thomebanking	0.00301971388129409	0.00547417171899448	0.00555880631948508
Visa_msaldototal	0.00300861959439058	0.0214016666343155	0.0131655939145699
ctransferencias_emitidas	0.00292682126788615	0.00638612195666698	0.00819192510239907
mtarjeta_master_consumo	0.00290336223082387	0.00924875163335676	0.00409596255119953
Visa_status	0.0025739143099114	0.0399157674969391	0.014774722059684
Master_mconsumospesos	0.00256492951069962	0.00488485686607738	0.00570509069631363
ctarjeta_debito	0.00244785025560431	0.00748559011633065	0.00767992978349912
ctarjeta_debito_transacciones	0.00243107814683217	0.00640048620608514	0.0102399063779988
cextraccion_autoservicio	0.0023936276389135	0.0141298551665599	0.0105324751316559
Master_status	0.00234843381435687	0.0155891908152224	0.00636337039204213
ctransferencias_recibidas	0.0022989488345632	0.00640414627279659	0.00811878291398479
ccallcenter_transacciones	0.00226637916697307	0.00828126265611588	0.00314511410181393
Master_mpagospesos	0.0017328979716034	0.0116347319817402	0.00687536571094207
ctarjeta_visa_debitos_automaticos	0.00160494643932329	0.00370497941022792	0.0045348156816852
Master_cconsumos	0.00143323484857385	0.00122607319454596	0.00212112346401404
Master_msaldopesos	0.00132668050012009	0.0105079343156815	0.00643651258045641
mpagomiscuentas	0.00130553858940096	0.00500241256246512	0.00563194850789936
Visa_mpagado	0.00121061948683264	0.0122525988839965	0.00526623756582797
Visa_fultimo_cierre	0.00113502831266251	0.00363965150463068	0.00351082504388531
internet	0.00110956264809479	0.00728321010526875	0.00336454066705676
cpagomiscuentas	0.00109748287885664	0.00424282394483853	0.0038765359859567
Visa_mlimitecompra	0.00109745882395517	0.0043300290673701	0.00431538911644236
ctarjeta_master_transacciones	0.00100494470014349	0.000801355473945675	0.000658279695728496
Master_mlimitecompra	0.000956227488720106	0.00212753098890827	0.00358396723229959
ccomisiones_mantenimiento	0.000923393391598863	0.00132773331195135	0.00175541252194266
mextraccion_autoservicio	0.000898158996778579	0.00462419684647417	0.0061439438267993
Master_mpagominimo	0.000737798879149206	0.00152146729765494	0.00255997659449971
Master_fultimo_cierre	0.00068278167348627	0.00187644461487673	0.00219426565242832
Master_msaldototal	0.00051763757778126	0.00165700823921222	0.00175541252194266
matm_other	0.000499701501974278	0.00929066973210193	0.00358396723229959
ccaja_ahorro	0.000466297299657539	0.00511590992041937	0.0022674078408426
ccaja_seguridad	0.000462464526266104	0.000410623186841991	0.000146284376828555
ccuenta_debitos_automaticos	0.000447591210612317	0.000592903079476152	0.00117027501462844
Visa_msaldodolares	0.000430354500871856	0.00335918754968416	0.00168227033352838
cseguro_accidentes_personales	0.00038605488327816	0.00278210316762377	0.00175541252194266
matm	0.000382282873569035	0.000763766689647407	0.00117027501462844
catm_trx	0.000372924583433185	0.00195914649417139	0.00168227033352838
Visa_mconsumototal	0.000285359203847461	0.000686640614461377	0.00109713282621416
cseguro_vida	0.000259018289269195	0.00279934732490545	0.00109713282621416
Visa_mpagosdolares	0.000172286315294876	0.000243056661559559	0.000585137507314219
Visa_cadelantosefectivo	0.00016866895176639	0.00093612633948343	0.000731421884142774
Master_mconsumosdolares	0.000151687675690946	0.000292380597769078	0.000658279695728496
cplazo_fijo	9.64140416373376e-05	0.000994470626055835	0.000365710942071387
cseguro_vivienda	8.06788626506135e-05	0.00127642305854581	0.000585137507314219
mttarjeta_master_debitos_automaticos	5.63947074447751e-05	0.000201013787812858	0.000219426565242832
Master_mconsumototal	5.19816625235651e-05	0.000116522206476107	0.000146284376828555
Master_mpagosdolares	4.26168164153883e-05	5.35952743930903e-05	0.000146284376828555
Visa_delinquency	3.40464992967928e-05	9.51125807091185e-05	7.31421884142774e-05
Visa_madelantopesos	2.12538860129233e-05	9.99271312730731e-05	7.31421884142774e-05
ctarjeta_master_debitos_automaticos	1.86928104427735e-05	6.69461995564334e-05	7.31421884142774e-05
active_quarter	1.60197597702709e-05	9.74896075058773e-05	7.31421884142774e-05
catm_trx_other	4.74129345791167e-07	7.71374183679876e-05	0.000146284376828555
