Feature	Gain	Cover	Frequency
ctrx_quarter	0.359177173399769	0.0318448383584184	0.0318331503841932
cpayroll_trx	0.124944815893039	0.0280430566708394	0.0120746432491767
mpasivos_margen	0.0427196839165376	0.0300049513241196	0.0296377607025247
mcuenta_corriente	0.0318168803086694	0.0445276011685457	0.0439077936333699
mprestamos_personales	0.030796962787473	0.0273772956932342	0.0142700329308452
mtarjeta_visa_consumo	0.0305033272324924	0.013900046785774	0.0120746432491767
mrentabilidad_annual	0.0298787486516629	0.0433748618536866	0.0351262349066959
cprestamos_personales	0.0218079375080225	0.00373952340505742	0.0021953896816685
ctarjeta_visa_transacciones	0.0203847482281708	0.010895239908154	0.0164654226125137
mactivos_margen	0.0201761107276481	0.0360332810076445	0.0461031833150384
ctarjeta_master	0.0177720315547685	0.0111995103184757	0.00548847420417124
Visa_mpagominimo	0.0159342355489178	0.0178345598134056	0.0329308452250274
ccomisiones_mantenimiento	0.0142465355538899	0.00437181827954568	0.00548847420417124
mrentabilidad	0.0141270688730187	0.0234944790945408	0.0296377607025247
cdescubierto_preacordado	0.013202858769215	0.0154446065884559	0.00658616904500549
cliente_edad	0.0123955499490344	0.0345073966663755	0.0450054884742042
mcomisiones_otras	0.0116980215343833	0.0212113584115846	0.0230515916575192
Visa_fechaalta	0.0113684420565721	0.0385803468630071	0.0362239297475302
Master_fechaalta	0.00990136676961889	0.0309800410710424	0.0351262349066959
chomebanking_transacciones	0.00934784871305486	0.0210566737934898	0.0318331503841932
mcaja_ahorro_dolares	0.00871904950262462	0.0226147697648448	0.0186608122941822
Visa_cconsumos	0.00765313225363011	0.0101688190894699	0.0197585071350165
Master_Fvencimiento	0.00745360867165953	0.0207680438291834	0.0296377607025247
Visa_mpagospesos	0.00666137968635953	0.019975297807345	0.021953896816685
Visa_mconsumospesos	0.0065562957812962	0.0213594266961128	0.0285400658616905
mautoservicio	0.00587054511929152	0.0199524947249915	0.0208562019758507
cproductos	0.00572483898482251	0.0273205813721721	0.017563117453348
ctarjeta_visa	0.00566233343870504	0.0110213751480759	0.00439077936333699
Visa_msaldopesos	0.00537588001344533	0.0114271769401634	0.0153677277716795
ccajas_consultas	0.00537195117455509	0.0148705435427286	0.00548847420417124
Visa_msaldototal	0.00519654824624446	0.0247638844012814	0.0186608122941822
Master_mfinanciacion_limite	0.00515812081465284	0.0115820031923101	0.0197585071350165
ccomisiones_otras	0.00478420986612304	0.0125949092310863	0.0142700329308452
numero_de_cliente	0.00442835519231307	0.0117732496292273	0.0197585071350165
tcallcenter	0.00412341627145949	0.00653418581655157	0.00329308452250274
cliente_antiguedad	0.00405184718753478	0.00892763942592643	0.017563117453348
cmobile_app_trx	0.00393488001570412	0.00808222577022267	0.00878155872667399
mcuenta_debitos_automaticos	0.0039192717450062	0.0128186303327573	0.0109769484083425
mttarjeta_visa_debitos_automaticos	0.00382785576891758	0.0134398170508905	0.0208562019758507
Visa_mfinanciacion_limite	0.00368735050174265	0.00993409099862386	0.0164654226125137
Visa_status	0.00335001538186969	0.0297689889936785	0.0109769484083425
ccaja_seguridad	0.00308080315482159	0.00329602672173237	0.00109769484083425
ctransferencias_emitidas	0.00294532937927607	0.0117460154243934	0.013172338090011
Master_mlimitecompra	0.00261518683348702	0.00528262640034852	0.0109769484083425
ccajas_transacciones	0.00255148532999701	0.0120476150211653	0.00439077936333699
ctarjeta_debito_transacciones	0.00252237079510716	0.0083752666235735	0.0142700329308452
ctarjeta_visa_debitos_automaticos	0.00233288307343214	0.005513085236202	0.00768386388583974
mtarjeta_master_consumo	0.00220426147451599	0.00691847946618854	0.00548847420417124
falto_costo_mantenimiento	0.00202562119006655	0.012327241106459	0.00439077936333699
ctransferencias_recibidas	0.00183412373171032	0.00590885124404168	0.00658616904500549
thomebanking	0.00182717450367585	0.00812762960056992	0.00548847420417124
Master_status	0.00178817621750971	0.00813248562520599	0.00439077936333699
Master_mconsumototal	0.0017277056850335	0.00387573489609918	0.0021953896816685
Visa_mconsumototal	0.00168103663145963	0.00870227941594083	0.00987925356750823
ccallcenter_transacciones	0.00155067833968977	0.00659205344346474	0.0021953896816685
Master_mconsumospesos	0.00140366296424856	0.00505959323550103	0.00439077936333699
Master_mconsumosdolares	0.00130161868546174	0.00214033332521973	0.0021953896816685
cpagomiscuentas	0.00127069265391141	0.0029352038578364	0.00548847420417124
cextraccion_autoservicio	0.00126991157274949	0.0100375445568081	0.00878155872667399
Master_msaldopesos	0.00122117996325334	0.00449673951330857	0.00548847420417124
mextraccion_autoservicio	0.0011794766042837	0.00636208021007486	0.00658616904500549
ctarjeta_debito	0.00116499266286684	0.00238663494144838	0.00329308452250274
ccuenta_debitos_automaticos	0.00111353898301714	0.00225708025084524	0.00329308452250274
Master_mpagospesos	0.00105768950668817	0.00489254598802023	0.00439077936333699
catm_trx	0.00103283140207314	0.00545839425873826	0.00439077936333699
fpoco_uso	0.000695804352773611	0.00173392453005265	0.00329308452250274
Visa_mlimitecompra	0.000680347377286654	0.00205302604895039	0.00329308452250274
internet	0.000477182593773797	0.00524489104223906	0.0021953896816685
matm_other	0.000410419525949953	0.00688742114195368	0.00329308452250274
ctarjeta_master_transacciones	0.000285971978277736	0.000717275305619475	0.00109769484083425
matm	0.000264508095763587	0.00160859862757008	0.0021953896816685
cseguro_accidentes_personales	0.000242158697992237	0.00157600256220047	0.00109769484083425
cseguro_vida	0.000190992554713477	0.003132156123701	0.00109769484083425
ccaja_ahorro	0.000146473286283258	0.00211087344242757	0.00109769484083425
Visa_fultimo_cierre	0.000124593648505122	0.00329602672173237	0.00109769484083425
Master_cconsumos	6.78829564293253e-05	0.000648623257327038	0.00109769484083425
