Feature	Gain	Cover	Frequency
ctrx_quarter	0.295732452425307	0.0355916439747511	0.0375985445724682
mcuenta_corriente	0.117521701713522	0.0324361610396924	0.0339599757428745
cpayroll_trx	0.084706403667113	0.0247541569865987	0.00848999393571862
mpasivos_margen	0.0399560787169567	0.0271197639563258	0.0327471194663432
mrentabilidad_annual	0.0339018065617404	0.0414362963511869	0.039417828987265
mprestamos_personales	0.0320009048176784	0.0240424204791017	0.0103092783505155
mtarjeta_visa_consumo	0.0263311259528804	0.0206856633239041	0.0187992722862341
mactivos_margen	0.0180977433626437	0.0296011963932389	0.0303214069132808
Visa_fechaalta	0.0170964881142793	0.03306614413943	0.0351728320194057
cdescubierto_preacordado	0.0167735849493002	0.00835012897568678	0.00363856882959369
mrentabilidad	0.0145600829036923	0.023079205149807	0.031534263189812
Visa_mpagominimo	0.0145560459551612	0.0170364529687068	0.0254699818071559
cliente_edad	0.014547510749952	0.0281726117553782	0.0388114008489994
Visa_msaldototal	0.0135835347352706	0.0221909385838187	0.0242571255306246
Master_fechaalta	0.0132637117429668	0.0325267702526731	0.0351728320194057
mcomisiones_otras	0.0127899757571546	0.0292986501799356	0.0333535476046089
mcaja_ahorro_dolares	0.0107989146442276	0.0279210840964194	0.0254699818071559
numero_de_cliente	0.0104856003142769	0.0170907273337944	0.031534263189812
mautoservicio	0.0103939431323816	0.0240906715943145	0.0266828380836871
Master_Fvencimiento	0.00925244180208237	0.0218910946934322	0.0309278350515464
Visa_cconsumos	0.00887531213920567	0.0146931157444626	0.0206185567010309
cprestamos_personales	0.00882505415677514	0.00627404497629054	0.00303214069132808
ccomisiones_mantenimiento	0.00874387532159857	0.00966059279978757	0.00485142510612493
cproductos	0.00859360026941278	0.0231219865029715	0.0187992722862341
chomebanking_transacciones	0.00803220039161409	0.0169241763352308	0.0248635536688902
cliente_antiguedad	0.00770182928839265	0.0104741873463827	0.0260764099454215
Master_status	0.00738063507172607	0.00175958663705876	0.00121285627653123
Visa_mconsumospesos	0.00719876400131527	0.0154826172915588	0.0224378411158278
ccaja_seguridad	0.00660517696081014	0.0109347543341027	0.00303214069132808
Visa_mpagospesos	0.00653363124250251	0.0189724719899346	0.0206185567010309
Master_mfinanciacion_limite	0.00624099673898202	0.00990289023528963	0.0169799878714372
ctarjeta_visa_transacciones	0.00560648528121625	0.00817558496174878	0.0139478471801092
mttarjeta_visa_debitos_automaticos	0.00552661953085415	0.0119580556506614	0.0151607034566404
ctarjeta_visa	0.00540024245506409	0.0140059606080761	0.00485142510612493
mcuenta_debitos_automaticos	0.00510410230784506	0.0111216541498108	0.0103092783505155
ccajas_consultas	0.00483810346557004	0.0163877001200352	0.00424499696785931
Visa_mfinanciacion_limite	0.00474607125858666	0.0160502353365121	0.015767131594906
ccomisiones_otras	0.00435441099690367	0.00756380184406516	0.0115221346270467
ctarjeta_debito_transacciones	0.00417631015523244	0.00965020676351705	0.015767131594906
Master_mconsumospesos	0.0035836655761132	0.00837374988262802	0.00727713765918739
ctransferencias_emitidas	0.00355733653963218	0.00606567308873165	0.0103092783505155
Visa_mconsumototal	0.00344171649307055	0.00582262681675867	0.00848999393571862
ctarjeta_master	0.00330660535461266	0.00774682724498895	0.00303214069132808
Visa_msaldopesos	0.00324056330473337	0.0112293238110854	0.0139478471801092
mextraccion_autoservicio	0.00324048959083922	0.013480098335903	0.0115221346270467
Master_msaldopesos	0.00316575677756324	0.0145720484219802	0.0115221346270467
falto_costo_mantenimiento	0.00296626155435356	0.0125454201877717	0.00667070952092177
mtarjeta_master_consumo	0.00288680410168617	0.0105463849496111	0.00667070952092177
cmobile_app_trx	0.00287666619107742	0.00644766108416675	0.00667070952092177
ctransferencias_recibidas	0.00287414531168729	0.00568510137096981	0.00970285021224985
tcallcenter	0.00266275418539391	0.00470300233936514	0.00242571255306246
Master_mlimitecompra	0.00254988208892193	0.00545542020209729	0.007883565797453
ccallcenter_transacciones	0.00236063178770484	0.00719438127809846	0.00303214069132808
Master_mpagospesos	0.00192751711605109	0.0116606373392785	0.00848999393571862
internet	0.00192633545947327	0.00510753682419625	0.00303214069132808
Visa_mlimitecompra	0.00191160726326069	0.00323546192596312	0.00545785324439054
Visa_status	0.00182082229722697	0.026518578502611	0.00606428138265616
Master_cconsumos	0.0016133933099151	0.00160161469980318	0.00242571255306246
cpagomiscuentas	0.00160792512396257	0.0100053668784289	0.00727713765918739
ccajas_transacciones	0.00157304969236711	0.00121897554221947	0.000606428138265616
Visa_fultimo_cierre	0.0014316749452794	0.00417717262529955	0.00424499696785931
thomebanking	0.00140442243377122	0.00434416315831354	0.00303214069132808
Master_mconsumototal	0.00120734614619991	0.000973536249350303	0.00181928441479685
matm_other	0.00116032845020974	0.00399979605601505	0.00363856882959369
ccuenta_debitos_automaticos	0.0011328312562763	0.00159583563573416	0.00363856882959369
catm_trx	0.00107473949321841	0.0069722047529888	0.00363856882959369
ctarjeta_visa_debitos_automaticos	0.00105523984012319	0.00327127584413731	0.00303214069132808
ctarjeta_debito	0.000865844493548491	0.00287950413741918	0.00363856882959369
fpoco_uso	0.000812802552578838	0.00101071760803659	0.00181928441479685
cextraccion_autoservicio	0.000796917604184767	0.00960942773395963	0.007883565797453
ccajas_depositos	0.000420138680534509	0.00794819913945015	0.00181928441479685
ccajas_extracciones	0.000359493743796973	0.00530371570052219	0.00121285627653123
matm	0.000354945507810309	0.00153075197897944	0.00303214069132808
ccaja_ahorro	0.00031545798194651	0.00625102639433677	0.00181928441479685
active_quarter	0.000296025629746933	0.00249525335351762	0.000606428138265616
ctarjeta_master_debitos_automaticos	0.000261477046873376	0.000620020318863686	0.000606428138265616
ctarjeta_master_transacciones	0.000256090225910786	0.000384901946050174	0.00121285627653123
Visa_delinquency	0.000216633006488539	0.00127377083702597	0.000606428138265616
cseguro_accidentes_personales	0.000188149802435553	0.000769657380616908	0.000606428138265616
cseguro_vida	0.00017085634136492	0.00131028475450992	0.000606428138265616
cseguro_vivienda	0.000159982420408066	0.00043504143149403	0.000606428138265616
Master_mconsumosdolares	0.000131200225452726	0.000132446381029615	0.000606428138265616
